#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-01-24T00:21:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e2a37fe0bc3	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=V/50/catalog
#-nav=cat:V/50&tab:{V/50/catalog}&key:source=V/50/catalog&HTTPPRM:&&-ref=VIZ5e2a37fe0bc3&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-out=Name&-out=HD&-out=ADS&-out=VarID&-out=RAJ2000&-out=DEJ2000&-out=GLON&-out=GLAT&-out=Vmag&-out=B-V&-out=SpType&-out=RadVel&-out=RotVel&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/50/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/50/catalog
#-out=HR
#-out=Name
#-out=HD
#-out=ADS
#-out=VarID
#-out=RAJ2000
#-out=DEJ2000
#-out=GLON
#-out=GLAT
#-out=Vmag
#-out=B-V
#-out=SpType
#-out=RadVel
#-out=RotVel
#

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
#Column	ADS	(a5)	Aitken's Double Star Catalog (ADS) designation	[ucd=meta.id]
#Column	VarID	(a9)	Variable star identification	[ucd=meta.id]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F6.2)	?Galactic longitude (1)	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	?Galactic latitude (1)	[ucd=pos.galactic.lat]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a20)	Spectral type	[ucd=src.spType]
#Column	RadVel	(I4)	? Heliocentric Radial Velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	RotVel	(I3)	? Rotational velocity, v sin i	[ucd=phys.veloc.rotat]
_RAJ2000;_DEJ2000;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;GLON;GLAT;Vmag;B-V;SpType;RadVel;RotVel
002.260000;-54.001944;  23;          ;   469;     ;         ;00 09 02.4;-54 00 07;316.25;-62.02; 6.33; 0.74;  G4IV              ;   1;
002.337500;-27.987778;  24;   Kap1Scl;   493;  111;         ;00 09 21.0;-27 59 16; 25.24;-80.63; 5.42; 0.42;  F2V               ;   9;131
002.352917;-45.747500;  25;   Eps Phe;   496;     ;         ;00 09 24.7;-45 44 51;324.34;-69.60; 3.88; 1.03;  K0III             ;  -9;
002.509583;+11.145556;  26; 34    Psc;   560;  122;         ;00 10 02.3;+11 08 44;106.87;-50.43; 5.51;-0.07;  B9Vn              ;  14;275
002.580417;+46.072222;  27; 22    And;   571;     ;         ;00 10 19.3;+46 04 20;115.52;-16.21; 5.03; 0.40;  F2II              ;  -5; 47
002.623750;+57.165556;  28;          ;   584;     ;         ;00 10 29.7;+57 09 56;117.38; -5.26; 6.74;-0.08;  B7IV              ;   2;
002.578333; -5.248611;  29;          ;   587;     ;         ;00 10 18.8;-05 14 55; 96.99;-66.03; 5.84; 0.98;  K1III             ;  24;
002.508750;-82.223889;  30;   Gam3Oct;   636;     ;         ;00 10 02.1;-82 13 26;304.63;-34.77; 5.28; 1.05;  G8III             ;  15;
002.678333;-12.580000;  31;          ;   645;     ;         ;00 10 42.8;-12 34 48; 87.69;-72.60; 5.85; 1.01;  K0IV              ;   6;
002.660833;-73.224444;  32;          ;   661;     ;         ;00 10 38.6;-73 13 28;306.98;-43.58; 6.64; 0.37;  F2V+F6V           ; -14;
002.816250;-15.468056;  33;  6    Cet;   693;     ;         ;00 11 15.9;-15 28 05; 82.24;-75.06; 4.89; 0.49;  F7V               ;  14;  0
002.893333;-27.799722;  34;   Kap2Scl;   720;     ;         ;00 11 34.4;-27 47 59; 26.30;-81.13; 5.41; 1.34;  K5III             ;  -6;
002.933333;-35.133056;  35;   The Scl;   739;     ;         ;00 11 44.0;-35 07 59;347.16;-78.34; 5.25; 0.44;  F4V               ;  -2;  0
002.996250;+48.152500;  36;          ;   743;     ;         ;00 11 59.1;+48 09 09;116.16;-14.20; 6.16; 1.45; gK4                ;  16;
003.041667;-17.938333;  37;          ;   787;     ;         ;00 12 10.0;-17 56 18; 76.32;-77.10; 5.25; 1.48;  K5III             ;  -8; 19
003.210000;+37.693333;  38;          ;   829;     ;         ;00 12 50.4;+37 41 36;114.55;-24.55; 6.73;-0.13;  B2V               ; -10;
003.309167;+15.183611;  39; 88Gam Peg;   886;     ;Gam Peg  ;00 13 14.2;+15 11 01;109.43;-46.68; 2.83;-0.23;  B2IV              ;   4;  3
003.350000;+26.987222;  40;          ;   895;  161;         ;00 13 24.0;+26 59 14;112.56;-35.12; 6.30; 0.65;  G0III             ; -13;
003.378333;+41.035278;  41; 23    And;   905;     ;         ;00 13 30.8;+41 02 07;115.27;-21.27; 5.72; 0.31;  F0IV              ; -29; 25
003.425417;-26.021944;  42;          ;   942;     ;   96    ;00 13 42.1;-26 01 19; 38.28;-81.49; 5.94; 1.55;  K5III             ; -30;
003.434167;-26.284722;  43;          ;   943;     ;         ;00 13 44.2;-26 17 05; 36.52;-81.54; 6.31; 1.48;  K5III             ;  18;
003.509583;+33.206111;  44;          ;   952;     ;         ;00 14 02.3;+33 12 22;113.99;-29.02; 6.25;-0.01;  A1V               ;   1; 56
003.650833;+20.206667;  45; 89Chi Peg;  1013;     ;   99    ;00 14 36.2;+20 12 24;111.30;-41.83; 4.80; 1.57;  M2+III            ; -46;
003.615000; -7.780556;  46;          ;  1014;  180;AD Cet   ;00 14 27.6;-07 46 50; 96.87;-68.76; 5.12; 1.62;  M3+III            ;  -2;
003.330833;-84.994167;  47;          ;  1032;     ;         ;00 13 19.4;-84 59 39;303.91;-32.06; 5.77; 1.72;  M0-1III           ;   4;
003.660000;-18.932778;  48;  7    Cet;  1038;     ;AE Cet   ;00 14 38.4;-18 55 58; 75.11;-78.23; 4.44; 1.66;  M3III             ; -23;
003.733750;+22.284167;  49;          ;  1048;     ;         ;00 14 56.1;+22 17 03;111.92;-39.81; 6.24;-0.01;  A1pSi             ; -15;
003.745000; +8.820833;  50; 35    Psc;  1061;  191;UU Psc   ;00 14 58.8;+08 49 15;107.86;-52.98; 5.79; 0.31;  F0IV              ;   1; 86
003.727083; -9.569722;  51;          ;  1064;     ;         ;00 14 54.5;-09 34 11; 95.06;-70.44; 5.75;-0.08;  B9V               ;  17;
003.779167;+31.535833;  52;          ;  1075;     ;         ;00 15 07.0;+31 32 09;113.93;-30.70; 6.45;     ;  K5                ;   2;
003.794167;+27.283056;  53;          ;  1083;     ;         ;00 15 10.6;+27 16 59;113.10;-34.90; 6.35;-0.02;  A1Vn              ;  -4;230
003.742500;-34.904444;  54;          ;  1089;     ;         ;00 14 58.2;-34 54 16;345.80;-78.99; 6.17; 1.34;  K3III             ; -52;
004.058333;+76.950833;  55;          ;  1141;  207;         ;00 16 14.0;+76 57 03;120.89; 14.22; 6.35;-0.07;  B8Vnn             ;  -7;
004.090000;+43.594722;  56;          ;  1185;  215;         ;00 16 21.6;+43 35 41;116.23;-18.82; 6.15; 0.05;  A2VpSi            ;   2;100
004.037083;-31.446389;  57;          ;  1187;     ;         ;00 16 08.9;-31 26 47;  1.53;-81.18; 5.67; 1.35;  K5III             ;  26;
003.980000;-75.911389;  58;          ;  1221;     ;         ;00 15 55.2;-75 54 41;305.79;-41.02; 6.49; 1.00;  G8-K0III          ;  16;
004.142083; +8.240000;  59; 36    Psc;  1227;     ;         ;00 16 34.1;+08 14 24;108.28;-53.64; 6.11; 0.92;  G8II-III          ;   1;
004.237917;+61.533333;  60;          ;  1239;  222;         ;00 16 57.1;+61 32 00;118.83; -1.06; 5.74; 0.88;  G8III             ;  -4;
004.177083;-20.210556;  61;          ;  1256;     ;  113    ;00 16 42.5;-20 12 38; 72.13;-79.47; 6.47;-0.09;  B8III             ;  19;
004.287917;+47.947500;  62;          ;  1279;     ;         ;00 17 09.1;+47 56 51;117.01;-14.53; 5.89;-0.09;  B7III             ;  -9;  0
004.272917;+38.681667;  63; 24The And;  1280;     ;  116    ;00 17 05.5;+38 40 54;115.62;-23.70; 4.61; 0.06;  A2V               ;   1;107
004.204167;-78.780556;  64;          ;  1324;     ;         ;00 16 49.0;-78 46 50;305.07;-38.20; 6.77; 0.46;  F3III             ; -13;
004.429167;+51.433056;  65;          ;  1337;     ;AO Cas   ;00 17 43.0;+51 25 59;117.59;-11.09; 6.14;-0.13;  O9IIInn           ; -35;135
004.385833;-19.051111;  66;          ;  1343;     ;         ;00 17 32.6;-19 03 04; 77.21;-78.78; 6.45; 0.37;  F4IV-V            ;  -5;
004.448750; +1.688889;  67;          ;  1367;     ;         ;00 17 47.7;+01 41 20;105.89;-60.07; 6.17; 0.94;  K0II              ;  -9;
004.582083;+36.785278;  68; 25Sig And;  1404;     ;  118    ;00 18 19.7;+36 47 07;115.59;-25.61; 4.52; 0.05;  A2V               ;  -8;103
004.571667;+11.205833;  69;          ;  1419;     ;         ;00 18 17.2;+11 12 21;110.00;-50.83; 6.05; 1.03;  K0III             ;   9;
004.675417;+43.791111;  70; 26    And;  1438;  254;  119    ;00 18 42.1;+43 47 28;116.70;-18.68; 6.11;-0.08;  B8V               ;   7;
004.659583;+31.517222;  71;          ;  1439;     ;         ;00 18 38.3;+31 31 02;114.79;-30.84; 5.87;-0.01;  A0IV              ;  -5; 53
004.674167; -8.052778;  72;          ;  1461;     ;         ;00 18 41.8;-08 03 10; 99.29;-69.40; 6.46; 0.68;  G0V               ; -10;
004.677500;-43.235278;  73;          ;  1483;     ;         ;00 18 42.6;-43 14 07;323.20;-72.58; 6.33; 1.21;  K2III             ;  12;
004.857083; -8.823889;  74;  8Iot Cet;  1522;     ;  123    ;00 19 25.7;-08 49 26; 98.98;-70.19; 3.56; 1.22;  K1.5III           ;  19; 17
004.923333;+40.729722;  75;          ;  1527;     ;         ;00 19 41.6;+40 43 47;116.46;-21.74; 6.33; 1.18;  K1III             ; -38;
005.021667;+48.865278;  76;          ;  1561;     ;         ;00 20 05.2;+48 51 55;117.63;-13.68; 6.52;     ;  A0V s             ;  -3; 57
005.017917;-64.874722;  77;   Zet Tuc;  1581;     ;         ;00 20 04.3;-64 52 29;308.35;-51.90; 4.23; 0.58;  F9V               ;   9;  0
005.101667;+30.935833;  78;          ;  1606;     ;  128    ;00 20 24.4;+30 56 09;115.13;-31.47; 5.90;-0.10;  B7V               ;   4;125
005.189583;+32.911389;  79;          ;  1632;     ;         ;00 20 45.5;+32 54 41;115.53;-29.52; 5.79; 1.59;  K5III             ; -36;
005.149583; +8.190278;  80; 41    Psc;  1635;     ;  132    ;00 20 35.9;+08 11 25;109.91;-53.90; 5.37; 1.34; gK3                ;  16;
005.227083;+10.976944;  81;          ;  1663;  287;         ;00 20 54.5;+10 58 37;110.93;-51.18; 6.56;     ;  A0V               ; -18; 56
005.280417;+37.968611;  82; 27Rho And;  1671;     ;         ;00 21 07.3;+37 58 07;116.37;-24.52; 5.18; 0.42;  F5III             ;   9; 41
005.162500;-69.625000;  83;   Pi  Tuc;  1685;     ;         ;00 20 39.0;-69 37 30;306.87;-47.27; 5.51;-0.05;  B9V               ;  12;
005.380000;-28.981667;  84;   Iot Scl;  1737;     ;         ;00 21 31.2;-28 58 54; 15.52;-83.15; 5.18; 1.00;  G5III             ;  21;
005.442917;-20.057778;  85;          ;  1760;     ;T Cet    ;00 21 46.3;-20 03 28; 77.51;-80.20; 5.12; 1.82;  M5IIe             ;  29;
005.606250;+13.482500;  86; 42    Psc;  1796;  303;         ;00 22 25.5;+13 28 57;112.19;-48.78; 6.23; 1.22;  K3III             ;   3;
005.369167;-77.426944;  87;          ;  1801;     ;         ;00 21 28.6;-77 25 37;305.04;-39.58; 5.97; 1.40;  K3III             ;  21;
005.715833;-12.209444;  88;  9    Cet;  1835;     ;BE Cet   ;00 22 51.8;-12 12 34; 97.34;-73.64; 6.39; 0.66;  G2V               ;  -7;  6
005.802500;-31.036111;  89;          ;  1909;     ;         ;00 23 12.6;-31 02 10;358.89;-82.70; 6.55; 0.00;  B9IVMn            ;   1; 25
006.008333;+38.577222;  90;          ;  1967;     ;R And    ;00 24 02.0;+38 34 38;117.07;-23.98; 7.39; 1.97;  S6.5IIIeZr6Ti2    ; -11;
006.065000;+52.020000;  91;          ;  1976;  328;  155    ;00 24 15.6;+52 01 12;118.68;-10.63; 5.57;-0.12;  B5IV              ;  -7;230
          ;          ;  92; NOVA 1572;      ;     ;B Cas    ;          ;         ;      ;      ;     ;     ;                    ;    ;
006.197917;+61.831111;  93; 12    Cas;  2011;     ;         ;00 24 47.5;+61 49 52;119.79; -0.88; 5.40; 0.00;  B9III             ;  -4;154
006.123750; -2.219167;  94;          ;  2023;     ;         ;00 24 29.7;-02 13 09;107.27;-64.27; 6.07; 1.22;  K1III             ;  15;
          ;          ;  95; 47    Tuc;      ;     ;         ;          ;         ;      ;      ;     ;     ;                    ;    ;
006.276667;+53.046944;  96;          ;  2054;     ;  159    ;00 25 06.4;+53 02 49;118.92; -9.62; 5.74;-0.06;  B9IV              ;  10;210
006.350833; +1.939722;  97; 44    Psc;  2114;     ;         ;00 25 24.2;+01 56 23;109.73;-60.26; 5.77; 0.86;  G5III             ;  -4; 20
006.437917;-77.254167;  98;   Bet Hyi;  2151;     ;  161    ;00 25 45.1;-77 15 15;304.81;-39.77; 2.80; 0.62;  G2IV              ;  23;
006.570833;-42.306111;  99;   Alp Phe;  2261;     ;         ;00 26 17.0;-42 18 22;320.02;-73.98; 2.39; 1.09;  K0III             ;  75;
006.550833;-43.680000; 100;   Kap Phe;  2262;     ;         ;00 26 12.2;-43 40 48;318.42;-72.68; 3.94; 0.17;  A7V               ;  11;219
006.655833; -0.049722; 101; 10    Cet;  2273;     ;Var?     ;00 26 37.4;-00 02 59;109.50;-62.27; 6.19; 0.90;  G8III             ; -23;
006.811250;-25.547222; 102;          ;  2363;     ;         ;00 27 14.7;-25 32 50; 47.84;-84.35; 5.98; 1.03;  G8III             ;  -3;
007.012083;+17.893056; 103; 47    Psc;  2411;     ;TV Psc   ;00 28 02.9;+17 53 35;115.10;-44.62; 5.06; 1.65;  M3III             ;   6;
007.057083;+44.394444; 104;          ;  2421;     ;         ;00 28 13.7;+44 23 40;118.57;-18.28; 5.17; 0.03;  A2V s             ;   2; 36
006.982083;-33.007222; 105;   Eta Scl;  2429;     ;Eta Scl  ;00 27 55.7;-33 00 26;342.36;-82.23; 4.81; 1.64;  M4III             ;  11;
007.052917;+16.445000; 106; 48    Psc;  2436;     ;         ;00 28 12.7;+16 26 42;114.89;-46.06; 6.06; 1.58;  K5III             ;  -7;
007.083750;+10.189722; 107;          ;  2454;     ;         ;00 28 20.1;+10 11 23;113.62;-52.26; 6.04; 0.43;  F6Va vw           ; -10;  8
007.087917;-20.335000; 108;          ;  2475;     ;         ;00 28 21.1;-20 20 06; 83.87;-81.40; 6.43; 0.59;  G0V               ;   6;
007.110000;-39.915000; 109;          ;  2490;     ;         ;00 28 26.4;-39 54 54;321.94;-76.35; 5.43; 1.56;  M0III             ;  32;
007.235833;+36.900000; 110;          ;  2507;     ;         ;00 28 56.6;+36 54 00;117.94;-25.75; 6.26; 0.92;  G5III             ;  10;
007.179583;-50.532778; 111;          ;  2529;     ;         ;00 28 43.1;-50 31 58;311.91;-66.20; 6.26; 1.09;  K0III             ;   6;
007.729167;+77.019444; 112;          ;  2589;     ;         ;00 30 55.0;+77 01 10;121.74; 14.20; 6.21; 0.84;  K0IV              ;  19;
007.582917;+59.977222; 113;          ;  2626;  412;         ;00 30 19.9;+59 58 38;120.29; -2.79; 5.94; 0.01;  B9IIIn            ; -17;225
007.530417;+29.751667; 114; 28    And;  2628;  409;GN And   ;00 30 07.3;+29 45 06;117.42;-32.89; 5.23; 0.24;  A7III             ; -10; 21
007.466250;-14.864167; 115;          ;  2630;     ;         ;00 29 51.9;-14 51 51; 99.58;-76.75; 6.14; 0.37;  F2III             ;   3; 42
007.453750;-32.116667; 116;          ;  2632;     ;         ;00 29 48.9;-32 07 00;344.92;-83.15; 6.57; 1.34;  K4III             ;   1;
007.510000; -3.957222; 117; 12    Cet;  2637;  410;         ;00 30 02.4;-03 57 26;109.57;-66.27; 5.72; 1.56;  M0III             ;   5;
007.594583;-23.787778; 118;          ;  2696;     ;         ;00 30 22.7;-23 47 16; 66.87;-84.19; 5.19; 0.12;  A5Vn              ;   0;
007.615833;-40.939444; 119;          ;  2724;     ;BB Phe   ;00 30 27.8;-40 56 22;318.97;-75.53; 6.19; 0.33;  F2III             ;  -5;
007.608750;-48.215000; 120;          ;  2726;     ;         ;00 30 26.1;-48 12 54;312.52;-68.52; 5.69; 0.35;  F2V               ;   2;
007.855417;+66.519444; 121; 13    Cas;  2729;     ;         ;00 31 25.3;+66 31 10;120.94;  3.73; 6.18;-0.10;  B6V               ; -10;
007.856667;+33.581667; 122;          ;  2767;     ;         ;00 31 25.6;+33 34 54;118.16;-29.10; 5.87; 1.14;  K1III             ;   9;
007.943333;+54.522222; 123; 14Lam Cas;  2772;  434;         ;00 31 46.4;+54 31 20;120.05; -8.24; 4.73;-0.10;  B8Vn              ; -12;
007.921667;+52.839444; 124;          ;  2774;     ;         ;00 31 41.2;+52 50 22;119.91; -9.92; 5.60; 1.15;  K2III             ; -52;
007.854167;-48.803611; 125;   Lam1Phe;  2834;     ;         ;00 31 25.0;-48 48 13;311.75;-67.98; 4.77; 0.02;  A0V               ;  -2;109
007.886250;-62.958056; 126;   Bet1Tuc;  2884;     ;         ;00 31 32.7;-62 57 29;306.78;-54.02; 4.37;-0.07;  B9V               ;  14;173
007.890000;-62.965833; 127;   Bet2Tuc;  2885;     ;         ;00 31 33.6;-62 57 57;306.78;-54.01; 4.54; 0.15;  A2V+A7V           ;  10; 50
008.111667;+43.494722; 128;          ;  2888;     ;         ;00 32 26.8;+43 29 41;119.29;-19.24; 6.70;-0.01;  A1Vn              ; -15;265
008.330417;+70.981667; 129;          ;  2904;     ;         ;00 33 19.3;+70 58 54;121.44;  8.16; 6.42;-0.01;  A0Vn              ; -10;154
008.250000;+62.931667; 130; 15Kap Cas;  2905;     ;Kap Cas  ;00 33 00.0;+62 55 54;120.84;  0.14; 4.16; 0.14;  B1Ia              ;  -2; 62
008.147917;+20.294444; 131; 52    Psc;  2910;  452;         ;00 32 35.5;+20 17 40;116.94;-42.36; 5.38; 1.08;  K0III             ; -13;
008.099167; +6.955556; 132; 51    Psc;  2913;  449;Var?     ;00 32 23.8;+06 57 20;114.55;-55.61; 5.67; 0.00;  B9.5V             ;  17;125
008.143750;+27.580556; 133;          ;  2924;     ;         ;00 32 34.5;+27 34 50;117.82;-35.10; 6.67;     ;  A2IV              ;   2;
008.204583;+28.280278; 134;          ;  2942;  455;         ;00 32 49.1;+28 16 49;117.96;-34.41; 6.30; 1.00;  K0III             ; -12;
008.293333;+54.895000; 135;          ;  2952;     ;         ;00 33 10.4;+54 53 42;120.28; -7.88; 5.93; 1.04;  K0III             ; -35;
